"2007/01/25","06:00","EUR","L","Italian Retail Sales m/m","0.3%","0.1%","-0.1%","","03499"
"2007/01/25","09:30","USD","L","Unemployment Claims","325K","310K","289K","290K","03430"
"2007/01/25","11:00","USD","H","Existing Home Sales","6.22M","6.25M","6.27M","6.28M","03431"
"2007/01/25","11:30","USD","L","Natural Gas Storage","-179B","-174B","-89B","","08323"
"2007/01/25","19:00","NZD","M","RBNZ Gov Bollard Speaks","","","","","08437"
"2007/01/25","19:30","JPY","L","National Core CPI y/y","0.1%","0.2%","0.2%","","03436"
"2007/01/25","19:30","JPY","M","Tokyo Core CPI y/y","0.2%","0.2%","0.2%","","03438"
"2007/01/25","19:50","JPY","L","SPPI y/y","0.2%","-0.1%","-0.1%","","03443"
"2007/01/26","00:01","ALL","M","WEF Annual Meetings [Day 3]","","","","","15604"
"2007/01/26","03:00","EUR","L","German Import Prices m/m","-0.3%","0.1%","-0.4%","","03440"
"2007/01/26","04:00","EUR","L","Spanish Unemployment Rate","8.3%","8.2%","8.2%","","43861"
"2007/01/26","05:00","CHF","M","UBS Consumption Indicator","1.90","","1.89","","03442"
"2007/01/26","05:00","EUR","L","M3 Money Supply y/y","9.7%","9.2%","9.3%","","03498"
"2007/01/26","05:00","EUR","L","Private Loans y/y","10.7%","10.9%","11.2%","","11269"
"2007/01/26","05:00","EUR","M","ECB President Trichet Speaks","","","","","03455"
"2007/01/26","05:30","GBP","M","BBA Mortgage Approvals","45.5K","","78.7K","","03512"
"2007/01/26","09:30","USD","H","Core Durable Goods Orders m/m","2.3%","0.5%","-1.0%","-1.1%","03433"
"2007/01/26","09:30","USD","M","Durable Goods Orders m/m","3.1%","3.2%","2.2%","1.6%","03432"
"2007/01/26","11:00","USD","H","New Home Sales","1120K","1050K","1069K","1047K","03434"
"2007/01/27","00:01","ALL","M","WEF Annual Meetings [Day 4]","","","","","15605"
"2007/01/28","00:01","ALL","M","WEF Annual Meetings [Day 5]","","","","","15606"
"2007/01/28","19:50","JPY","M","Retail Sales y/y","-0.3%","-0.6%","-0.2%","-0.1%","03496"
